| distributed init (rank 4, world 8): env://| distributed init (rank 1, world 8): env://

| distributed init (rank 3, world 8): env://
| distributed init (rank 6, world 8): env://
| distributed init (rank 5, world 8): env://
| distributed init (rank 0, world 8): env://
| distributed init (rank 7, world 8): env://
| distributed init (rank 2, world 8): env://
Using downloaded and verified file: /cpfs01/user/zhouyunsong/zhouys/Datasets/VLM/drivelm_train.json
Using downloaded and verified file: /cpfs01/user/zhouyunsong/zhouys/Datasets/VLM/drivelm_val.json
Using downloaded and verified file: /cpfs01/user/zhouyunsong/zhouys/Datasets/VLM/drivelm_val.json
======
Loading NuScenes tables for version v1.0-trainval...
23 category,
8 attribute,
4 visibility,
64386 instance,
12 sensor,
10200 calibrated_sensor,
2631083 ego_pose,
68 log,
850 scene,
34149 sample,
2631083 sample_data,
1166187 sample_annotation,
4 map,
Done loading in 28.014 seconds.
======
Reverse indexing ...
Done reverse indexing in 6.7 seconds.
======
======
Loading NuScenes tables for version v1.0-trainval...
23 category,
8 attribute,
4 visibility,
64386 instance,
12 sensor,
10200 calibrated_sensor,
2631083 ego_pose,
68 log,
850 scene,
34149 sample,
2631083 sample_data,
1166187 sample_annotation,
4 map,
Done loading in 28.973 seconds.
======
Reverse indexing ...
Done reverse indexing in 6.6 seconds.
======
======
Loading NuScenes tables for version v1.0-trainval...
23 category,
8 attribute,
4 visibility,
64386 instance,
12 sensor,
10200 calibrated_sensor,
2631083 ego_pose,
68 log,
850 scene,
34149 sample,
2631083 sample_data,
1166187 sample_annotation,
4 map,
Done loading in 32.918 seconds.
======
Reverse indexing ...
Done reverse indexing in 7.4 seconds.
======
Position interpolate from 16x16 to 26x26
Train: data epoch: [0]  [   0/7110]  eta: 2 days, 12:09:20  lr: 0.000000  loss: 6.5016  time: 30.4586  data: 0.0000  max mem: 42072
Train: data epoch: [0]  [  50/7110]  eta: 3:10:35  lr: 0.000001  loss: 5.4006  time: 1.0307  data: 0.0000  max mem: 58438
Train: data epoch: [0]  [ 100/7110]  eta: 2:32:12  lr: 0.000001  loss: 4.0517  time: 1.0023  data: 0.0000  max mem: 58438
Train: data epoch: [0]  [ 150/7110]  eta: 2:18:59  lr: 0.000002  loss: 3.1542  time: 0.9915  data: 0.0000  max mem: 59788
Train: data epoch: [0]  [ 200/7110]  eta: 2:12:00  lr: 0.000002  loss: 2.9226  time: 0.9670  data: 0.0000  max mem: 64924
Train: data epoch: [0]  [ 250/7110]  eta: 2:07:30  lr: 0.000003  loss: 2.6839  time: 0.9972  data: 0.0000  max mem: 64924
Train: data epoch: [0]  [ 300/7110]  eta: 2:04:48  lr: 0.000003  loss: 2.1318  time: 0.9913  data: 0.0000  max mem: 64924
Train: data epoch: [0]  [ 350/7110]  eta: 2:01:58  lr: 0.000004  loss: 1.8734  time: 0.9485  data: 0.0000  max mem: 64924
Train: data epoch: [0]  [ 400/7110]  eta: 2:00:03  lr: 0.000004  loss: 1.5382  time: 1.0190  data: 0.0000  max mem: 65356
Train: data epoch: [0]  [ 450/7110]  eta: 1:58:32  lr: 0.000005  loss: 1.8564  time: 1.0660  data: 0.0000  max mem: 65356
Train: data epoch: [0]  [ 500/7110]  eta: 1:56:59  lr: 0.000005  loss: 1.6191  time: 0.9930  data: 0.0000  max mem: 65356
Train: data epoch: [0]  [ 550/7110]  eta: 1:55:33  lr: 0.000006  loss: 1.3590  time: 0.9937  data: 0.0000  max mem: 65356
Train: data epoch: [0]  [ 600/7110]  eta: 1:54:03  lr: 0.000006  loss: 1.8583  time: 0.9672  data: 0.0000  max mem: 65356
Train: data epoch: [0]  [ 650/7110]  eta: 1:52:50  lr: 0.000007  loss: 1.3038  time: 1.0472  data: 0.0000  max mem: 65356
Train: data epoch: [0]  [ 700/7110]  eta: 1:51:45  lr: 0.000007  loss: 0.4804  time: 1.0235  data: 0.0000  max mem: 65356
Train: data epoch: [0]  [ 750/7110]  eta: 1:50:32  lr: 0.000008  loss: 1.6449  time: 0.9553  data: 0.0000  max mem: 65356
Train: data epoch: [0]  [ 800/7110]  eta: 1:49:16  lr: 0.000008  loss: 0.4740  time: 0.9684  data: 0.0000  max mem: 65356
